"filename", "language", "JSON", "HTML", "Ignore", "JavaScript", "JSON with Comments", "TypeScript", "SCSS", "BibTeX", "LaTeX", "TypeScript JSX", "XML", "comment", "blank", "total"
"d:\projectCode\online-programming-learning-platform\src\components\Rank\GeneralRank.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 93, 0, 0, 4, 97
"d:\projectCode\online-programming-learning-platform\src\components\Rank\style.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 1, 19
"d:\projectCode\online-programming-learning-platform\src\components\Record\Hack.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 0, 0, 5, 41
"d:\projectCode\online-programming-learning-platform\src\components\Record\HackDetail.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 46, 0, 0, 4, 50
"d:\projectCode\online-programming-learning-platform\src\components\Record\RecordLabel.tsx\LanaugeLabel.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 3, 11
"d:\projectCode\online-programming-learning-platform\src\components\Record\RecordLabel.tsx\RecordStateLabel.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 47, 0, 0, 5, 52
"d:\projectCode\online-programming-learning-platform\src\components\Record\RecordModal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 80, 0, 7, 9, 96
"d:\projectCode\online-programming-learning-platform\src\components\Record\RecordTable.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 387, 0, 0, 21, 408
"d:\projectCode\online-programming-learning-platform\src\components\Record\style.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 1, 5
"d:\projectCode\online-programming-learning-platform\src\components\SideActionBar\SideActionBar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 75, 0, 0, 4, 79
"d:\projectCode\online-programming-learning-platform\src\components\SideActionBar\style.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 41, 0, 0, 0, 0, 1, 4, 46
"d:\projectCode\online-programming-learning-platform\src\components\Similarity\Similarity.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 109, 0, 5, 8, 122
"d:\projectCode\online-programming-learning-platform\src\components\User\UserCard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 37, 0, 0, 5, 42
"d:\projectCode\online-programming-learning-platform\src\components\User\UserInfo.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 167, 0, 0, 6, 173
"d:\projectCode\online-programming-learning-platform\src\components\User\style.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 38, 0, 0, 0, 0, 0, 7, 45
"d:\projectCode\online-programming-learning-platform\src\components\countDown\CountDown.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 114, 0, 1, 7, 122
"d:\projectCode\online-programming-learning-platform\src\components\directory\Directory.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 39, 0, 12, 5, 56
"d:\projectCode\online-programming-learning-platform\src\components\directory\store.ts", "TypeScript", 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 1, 3, 21
"d:\projectCode\online-programming-learning-platform\src\components\error-page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 2, 16
"d:\projectCode\online-programming-learning-platform\src\components\mobile\MobileFooterNavbar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 43, 0, 0, 6, 49
"d:\projectCode\online-programming-learning-platform\src\components\mobile\MobileHeaderNavbar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 3, 12
"d:\projectCode\online-programming-learning-platform\src\components\modal\RemarkModal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 3, 28
"d:\projectCode\online-programming-learning-platform\src\components\table\GeneralTable.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 68, 0, 0, 5, 73
"d:\projectCode\online-programming-learning-platform\src\components\topic\TopicCollapse.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 144, 0, 0, 9, 153
"d:\projectCode\online-programming-learning-platform\src\components\topic\style.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 3, 17
"d:\projectCode\online-programming-learning-platform\src\components\upload\uploadProblem\UploadItem.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 0, 8, 6, 44
"d:\projectCode\online-programming-learning-platform\src\components\upload\uploadProblem\UploadProblemModal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 149, 0, 62, 13, 224
"d:\projectCode\online-programming-learning-platform\src\config\apiConfig.ts", "TypeScript", 0, 0, 0, 0, 0, 91, 0, 0, 0, 0, 0, 2, 8, 101
"d:\projectCode\online-programming-learning-platform\src\config\config.ts", "TypeScript", 0, 0, 0, 0, 0, 42, 0, 0, 0, 0, 0, 3, 5, 50
"d:\projectCode\online-programming-learning-platform\src\main.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 3, 11
"d:\projectCode\online-programming-learning-platform\src\router\router.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 602, 0, 188, 30, 820
"d:\projectCode\online-programming-learning-platform\src\store\appStore.ts", "TypeScript", 0, 0, 0, 0, 0, 188, 0, 0, 0, 0, 0, 22, 20, 230
"d:\projectCode\online-programming-learning-platform\src\store\nodeStore.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 3, 16
"d:\projectCode\online-programming-learning-platform\src\style.scss", "SCSS", 0, 0, 0, 0, 0, 0, 205, 0, 0, 0, 0, 10, 19, 234
"d:\projectCode\online-programming-learning-platform\src\tool\MyUtils\Utils.ts", "TypeScript", 0, 0, 0, 0, 0, 223, 0, 0, 0, 0, 0, 1, 24, 248
"d:\projectCode\online-programming-learning-platform\src\tool\MyUtils\highlight.ts", "TypeScript", 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 4, 13
"d:\projectCode\online-programming-learning-platform\src\tool\myHooks\myHooks.ts", "TypeScript", 0, 0, 0, 0, 0, 203, 0, 0, 0, 0, 0, 25, 31, 259
"d:\projectCode\online-programming-learning-platform\src\type.d.ts", "TypeScript", 0, 0, 0, 0, 0, 388, 0, 0, 0, 0, 0, 1, 42, 431
"d:\projectCode\online-programming-learning-platform\src\views\Community\CommunityRoot.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 201, 0, 3, 18, 222
"d:\projectCode\online-programming-learning-platform\src\views\Community\communityStore.ts", "TypeScript", 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 2, 8
"d:\projectCode\online-programming-learning-platform\src\views\Community\components\GeneralDetail\GeneralDetail.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 194, 0, 9, 12, 215
"d:\projectCode\online-programming-learning-platform\src\views\Community\components\Side\CommunityHotRank.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 70, 0, 1, 12, 83
"d:\projectCode\online-programming-learning-platform\src\views\Community\components\Side\CommunityStatistic.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 0, 0, 4, 32
"d:\projectCode\online-programming-learning-platform\src\views\Community\page\Article\Detail.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 179, 0, 0, 12, 191
"d:\projectCode\online-programming-learning-platform\src\views\Community\page\Comment\Detail.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 3, 8
"d:\projectCode\online-programming-learning-platform\src\views\Community\page\Notice\NoticeDetail.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 87, 0, 0, 6, 93
"d:\projectCode\online-programming-learning-platform\src\views\Community\page\Post\PostDetail.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 180, 0, 0, 8, 188
"d:\projectCode\online-programming-learning-platform\src\views\Community\page\RecommendSet\ArticleSet.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 47, 0, 0, 6, 53
"d:\projectCode\online-programming-learning-platform\src\views\Community\page\RecommendSet\CommentSet.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 41, 0, 12, 6, 59
"d:\projectCode\online-programming-learning-platform\src\views\Community\style.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 122, 0, 0, 0, 0, 0, 16, 138
